timestamp_emg,emg_data
1776861352.8808308,"[[-0.02122418]
 [ 0.00034975]
 [-0.02832082]]"
1776861352.8808732,"[[-0.02230515]
 [-0.00966547]
 [-0.02781453]]"
1776861352.8808837,"[[-0.02381938]
 [-0.02200711]
 [-0.02541198]]"
1776861352.880912,"[[-0.02374312]
 [-0.02915402]
 [-0.02412371]]"
1776861352.8809562,"[[-0.0211288 ]
 [-0.02654818]
 [-0.02464225]]"
1776861352.8810039,"[[-0.01730723]
 [-0.01497264]
 [-0.02524042]]"
1776861352.8810415,"[[-0.01551952]
 [ 0.00019886]
 [-0.02366034]]"
1776861352.8810492,"[[-0.01697883]
 [ 0.01191035]
 [-0.02068342]]"
1776861352.881087,"[[-0.01979226]
 [ 0.01579249]
 [-0.01950154]]"
1776861352.8811245,"[[-0.02222994]
 [ 0.01363802]
 [-0.02066222]]"
1776861352.8811355,"[[-0.02400249]
 [ 0.00957508]
 [-0.02183489]]"
1776861352.8811412,"[[-0.0249785 ]
 [ 0.00522764]
 [-0.02154563]]"
1776861352.8811467,"[[-0.02437118]
 [ 0.00147846]
 [-0.02070887]]"
1776861352.881152,"[[-0.02250609]
 [-0.0007458 ]
 [-0.02099165]]"
1776861352.8811574,"[[-0.02140423]
 [-0.00203062]
 [-0.02283137]]"
1776861352.8811626,"[[-0.0212012 ]
 [-0.00275175]
 [-0.02557604]]"
1776861352.8811684,"[[-0.02031374]
 [-0.00256862]
 [-0.02767583]]"
1776861352.881174,"[[-0.0187517 ]
 [-0.00233377]
 [-0.02731989]]"
1776861352.8811796,"[[-0.01677533]
 [-0.00285615]
 [-0.02507041]]"
1776861352.881185,"[[-0.01406063]
 [-0.0036406 ]
 [-0.02340267]]"
1776861352.8811903,"[[-0.01177942]
 [-0.00429485]
 [-0.02298492]]"
1776861352.8811958,"[[-0.01115946]
 [-0.00460781]
 [-0.02277811]]"
1776861352.8812299,"[[-0.01150759]
 [-0.00418837]
 [-0.02231649]]"
1776861352.8939986,"[[-0.01215368]
 [-0.00318914]
 [-0.02277218]]"
1776861352.8940988,"[[-0.01371793]
 [-0.00194826]
 [-0.02594354]]"
1776861352.8941855,"[[-0.01627623]
 [-0.00135958]
 [-0.02996846]]"
1776861352.89422,"[[-0.01843645]
 [-0.0032491 ]
 [-0.03054738]]"
1776861352.8942287,"[[-0.01932325]
 [-0.00709446]
 [-0.02790365]]"
1776861352.894265,"[[-0.01944234]
 [-0.00931198]
 [-0.02571494]]"
1776861352.8942797,"[[-0.01940265]
 [-0.00891295]
 [-0.02506909]]"
1776861352.89429,"[[-0.01941936]
 [-0.00847608]
 [-0.024772  ]]"
1776861352.8943214,"[[-0.0192603 ]
 [-0.00861942]
 [-0.02444955]]"
1776861352.8943284,"[[-0.01917218]
 [-0.00835442]
 [-0.02410009]]"
1776861352.8943572,"[[-0.02035204]
 [-0.00811071]
 [-0.02303517]]"
1776861352.8943996,"[[-0.02230296]
 [-0.00761021]
 [-0.02079288]]"
1776861352.8944342,"[[-0.02312589]
 [-0.00573824]
 [-0.0180188 ]]"
1776861352.8944595,"[[-0.02310253]
 [-0.00314274]
 [-0.01624888]]"
1776861352.8944917,"[[-0.02362728]
 [-0.00145847]
 [-0.01633277]]"
1776861352.8945189,"[[-0.0246025 ]
 [-0.00165281]
 [-0.01805887]]"
1776861352.8945262,"[[-0.02510188]
 [-0.00359524]
 [-0.02146435]]"
1776861352.8945582,"[[-0.02445821]
 [-0.00441497]
 [-0.02509188]]"
1776861352.8945649,"[[-0.02273969]
 [-0.00066604]
 [-0.02592257]]"
1776861352.8945704,"[[-0.02108289]
 [ 0.00439073]
 [-0.02466182]]"
1776861352.894596,"[[-0.02089183]
 [ 0.00420041]
 [-0.02423751]]"
1776861352.8946211,"[[-0.02245048]
 [-0.00072995]
 [-0.02408345]]"
