timestamp_emg,emg_data
1776861779.105111,"[[-0.01320678]
 [-0.00033169]
 [-0.02107734]]"
1776861779.1052067,"[[-0.01877497]
 [ 0.00652483]
 [-0.02423546]]"
1776861779.1052165,"[[-0.01720498]
 [ 0.00258895]
 [-0.02719138]]"
1776861779.105226,"[[-0.01483418]
 [-0.0004917 ]
 [-0.02980886]]"
1776861779.1052358,"[[-0.01446785]
 [-0.00063954]
 [-0.03131597]]"
1776861779.1052454,"[[-0.01643327]
 [-0.00228515]
 [-0.03004326]]"
1776861779.105255,"[[-0.01816651]
 [-0.00854459]
 [-0.02591697]]"
1776861779.1052833,"[[-0.0157246 ]
 [-0.00113528]
 [-0.023185  ]]"
1776861779.105293,"[[-0.01630325]
 [ 0.00120343]
 [-0.02359965]]"
1776861779.1053028,"[[-0.0175595 ]
 [ 0.00122262]
 [-0.02448236]]"
1776861779.1053126,"[[-0.01792858]
 [ 0.00202244]
 [-0.02569383]]"
1776861779.105322,"[[-0.01727879]
 [ 0.00493401]
 [-0.02604668]]"
1776861779.1053317,"[[-0.01671628]
 [ 0.00914819]
 [-0.02479412]]"
1776861779.1053412,"[[-0.01742477]
 [ 0.01050396]
 [-0.02401492]]"
1776861779.105485,"[[-0.02693272]
 [-0.02085684]
 [-0.02309701]]"
1776861779.1056192,"[[-0.02575013]
 [-0.0204277 ]
 [-0.01953373]]"
1776861779.105629,"[[-0.02430882]
 [-0.01888047]
 [-0.02180796]]"
1776861779.105639,"[[-0.0226727 ]
 [-0.01152532]
 [-0.02385442]]"
1776861779.1056876,"[[-0.01942258]
 [-0.02975455]
 [-0.02604115]]"
1776861779.1059456,"[[-0.03348193]
 [-0.0103469 ]
 [-0.02842923]]"
1776861779.1060278,"[[-0.03525313]
 [-0.0174922 ]
 [-0.0252903 ]]"
1776861779.1060538,"[[-0.0308025 ]
 [-0.00803369]
 [-0.01941057]]"
1776861779.1060817,"[[-0.02970865]
 [-0.00601726]
 [-0.02094824]]"
1776861779.1060886,"[[-0.02781165]
 [-0.00671538]
 [-0.02251407]]"
1776861779.1060958,"[[-0.02400659]
 [-0.00579745]
 [-0.02427439]]"
1776861779.1062386,"[[-0.0203696 ]
 [-0.00160225]
 [-0.0257862 ]]"
1776861779.1062753,"[[-0.0179943 ]
 [ 0.00314089]
 [-0.02640572]]"
1776861779.1062849,"[[-0.01628709]
 [ 0.00652648]
 [-0.02652659]]"
1776861779.1063104,"[[-0.01596264]
 [ 0.01086439]
 [-0.02740067]]"
1776861779.1063168,"[[-0.01697792]
 [ 0.01363078]
 [-0.02831124]]"
1776861779.1063223,"[[-0.01833805]
 [ 0.00726313]
 [-0.02676254]]"
