acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z,acc_x_1,acc_y_1,acc_z_1,gyro_x_1,gyro_y_1,gyro_z_1,mag_x_1,mag_y_1,mag_z_1
0.19384765625,-1.0224609375,-0.12158203125,-33.475608825683594,15.304878234863281,-29.93902587890625,0.0,0.0,0.0,0.63671875,-1.15087890625,0.0576171875,-145.6707305908203,10.0,57.43902587890625,0.0,0.0,0.0
0.20703125,-1.03369140625,-0.10693359375,-33.53658676147461,12.317073822021484,-31.219512939453125,0.0,0.0,0.0,0.63330078125,-1.142578125,0.0576171875,-138.10975646972656,8.536585807800293,53.29268264770508,0.0,0.0,0.0
0.2197265625,-1.044921875,-0.09814453125,-32.621952056884766,13.841464042663574,-32.43902587890625,0.0,0.0,0.0,0.623046875,-1.13037109375,0.06591796875,-130.36585998535156,4.695122241973877,48.59756088256836,0.0,0.0,0.0
0.21923828125,-1.05126953125,-0.09375,-31.95121955871582,15.304878234863281,-32.9878044128418,0.0,0.0,0.0,0.61279296875,-1.12890625,0.0771484375,-123.10975646972656,-2.378048896789551,44.024391174316406,0.0,0.0,0.0
0.2177734375,-1.05224609375,-0.08642578125,-30.670732498168945,18.231708526611328,-33.353660583496094,0.0,0.0,0.0,0.61572265625,-1.11865234375,0.08935546875,-116.21951293945312,-10.670731544494629,40.060977935791016,0.0,0.0,0.0
0.212890625,-1.05859375,-0.0869140625,-30.975610733032227,19.268293380737305,-33.84146499633789,0.0,0.0,0.0,0.62646484375,-1.1005859375,0.0986328125,-109.93902587890625,-16.585365295410156,36.70731735229492,0.0,0.0,0.0
0.19677734375,-1.06982421875,-0.08203125,-32.378047943115234,19.390243530273438,-33.84146499633789,0.0,0.0,0.0,0.6435546875,-1.08642578125,0.107421875,-103.59756469726562,-18.90243911743164,33.475608825683594,0.0,0.0,0.0
0.181640625,-1.0859375,-0.068359375,-32.0121955871582,17.865854263305664,-33.23170852661133,0.0,0.0,0.0,0.64453125,-1.0791015625,0.10986328125,-97.56097412109375,-20.18292808532715,29.817073822021484,0.0,0.0,0.0
0.16650390625,-1.08740234375,-0.05029296875,-29.69512176513672,13.719512939453125,-32.560977935791016,0.0,0.0,0.0,0.6455078125,-1.07275390625,0.1171875,-91.95122528076172,-21.40243911743164,27.13414764404297,0.0,0.0,0.0
0.150390625,-1.08544921875,-0.03857421875,-26.707317352294922,9.207317352294922,-31.34146499633789,0.0,0.0,0.0,0.64892578125,-1.05615234375,0.1171875,-85.79268646240234,-20.54878044128418,24.512195587158203,0.0,0.0,0.0
0.14794921875,-1.08544921875,-0.029296875,-24.512195587158203,7.743902683258057,-29.207317352294922,0.0,0.0,0.0,0.646484375,-1.03759765625,0.1064453125,-80.0,-16.341463088989258,21.64634132385254,0.0,0.0,0.0
0.14892578125,-1.07861328125,-0.0205078125,-22.98780632019043,10.365854263305664,-26.64634132385254,0.0,0.0,0.0,0.63720703125,-1.02294921875,0.1083984375,-77.43902587890625,-14.512195587158203,20.30487823486328,0.0,0.0,0.0
0.13720703125,-1.07080078125,-0.009765625,-20.914634704589844,14.268293380737305,-24.7560977935791,0.0,0.0,0.0,0.62744140625,-1.01416015625,0.10986328125,-72.98780822753906,-13.170731544494629,17.865854263305664,0.0,0.0,0.0
0.1201171875,-1.06591796875,-0.00244140625,-18.475610733032227,15.365854263305664,-23.109756469726562,0.0,0.0,0.0,0.62548828125,-1.01416015625,0.115234375,-68.96341705322266,-12.37804889678955,15.731707572937012,0.0,0.0,0.0
0.09619140625,-1.0537109375,0.0,-16.64634132385254,12.439024925231934,-21.40243911743164,0.0,0.0,0.0,0.62255859375,-1.0048828125,0.1201171875,-64.75609588623047,-10.243902206420898,13.780488014221191,0.0,0.0,0.0
0.0869140625,-1.0478515625,0.00439453125,-15.792683601379395,9.939024925231934,-20.85365867614746,0.0,0.0,0.0,0.626953125,-0.99365234375,0.1201171875,-60.60975646972656,-7.134146690368652,12.012195587158203,0.0,0.0,0.0
0.0732421875,-1.03955078125,0.0078125,-14.207317352294922,4.146341323852539,-19.45121955871582,0.0,0.0,0.0,0.6259765625,-0.978515625,0.1103515625,-56.89024353027344,-3.4146342277526855,10.12195110321045,0.0,0.0,0.0
0.06591796875,-1.0341796875,0.01025390625,-13.04878044128418,-1.9512195587158203,-17.7439022064209,0.0,0.0,0.0,0.619140625,-0.96923828125,0.11328125,-53.353660583496094,-0.060975611209869385,8.231707572937012,0.0,0.0,0.0
0.06787109375,-1.01708984375,0.013671875,-11.219511985778809,-6.7682929039001465,-15.914634704589844,0.0,0.0,0.0,0.603515625,-0.95654296875,0.1171875,-49.63414764404297,2.195122003555298,5.9146342277526855,0.0,0.0,0.0
0.0810546875,-0.99462890625,0.0146484375,-9.45121955871582,-9.329268455505371,-13.963415145874023,0.0,0.0,0.0,0.5859375,-0.939453125,0.11865234375,-45.3658561706543,6.890244007110596,4.5731706619262695,0.0,0.0,0.0
0.095703125,-0.9765625,0.01513671875,-7.804878234863281,-8.414634704589844,-12.439024925231934,0.0,0.0,0.0,0.56982421875,-0.91650390625,0.11669921875,-40.54878234863281,12.987805366516113,3.0487804412841797,0.0,0.0,0.0
0.10888671875,-0.9697265625,0.01953125,-6.890244007110596,-4.45121955871582,-10.853658676147461,0.0,0.0,0.0,0.5546875,-0.904296875,0.11767578125,-35.182926177978516,15.609756469726562,0.4878048896789551,0.0,0.0,0.0
0.115234375,-0.97021484375,0.01904296875,-5.54878044128418,-0.060975611209869385,-9.634146690368652,0.0,0.0,0.0,0.5361328125,-0.90380859375,0.1181640625,-30.2439022064209,15.731707572937012,-2.682926893234253,0.0,0.0,0.0
