a_bicep,a_tricep,a_difference
0.08932977017292502,1.0,-0.910670229827075
0.09212053577451206,1.0,-0.9078794642254879
0.09491484602456779,1.0,-0.9050851539754322
0.09771258521283786,1.0,-0.9022874147871621
0.10051389008590808,1.0,-0.899486109914092
0.10331854264062997,1.0,-0.89668145735937
0.1061252621650183,1.0,-0.8938747378349817
0.10893194129139991,1.0,-0.8910680587086001
0.11173655365135148,1.0,-0.8882634463486485
0.11453776812216435,1.0,-0.8854622318778357
0.11733498380665934,1.0,-0.8826650161933407
0.12012800221641246,1.0,-0.8798719977835876
0.12291667166208624,1.0,-0.8770833283379138
0.1257007588834373,1.0,-0.8742992411165627
0.12848008983520962,1.0,-0.8715199101647904
0.13125488504745858,1.0,-0.8687451149525414
0.13402597811700692,1.0,-0.8659740218829931
0.1367945219090334,1.0,-0.8632054780909666
0.13956130785977752,1.0,-0.8604386921402225
0.1423262737576756,1.0,-0.8576737262423244
0.14508855991400857,1.0,-0.8549114400859914
0.14784688211088187,1.0,-0.8521531178891182
0.1505997697119896,1.0,-0.8494002302880104
0.1533456154855199,1.0,-0.84665438451448
0.15608276639539045,1.0,-0.8439172336046096
0.15880980365732783,1.0,-0.8411901963426722
0.1615259300211827,1.0,-0.8384740699788173
0.16423106294971673,1.0,-0.8357689370502832
0.1669254321686502,1.0,-0.8330745678313498
0.16960914331287488,1.0,-0.8303908566871251
0.17228210020480003,1.0,-0.8277178997951999
0.1749441482678122,1.0,-0.8250558517321878
0.1775952128506006,1.0,-0.8224047871493994
0.1802353022493121,1.0,-0.8197646977506878
0.18286441958574767,1.0,-0.8171355804142524
0.1854825228764343,1.0,-0.8145174771235657
0.1880895178024796,1.0,-0.8119104821975204
0.19068517134806132,1.0,-0.8093148286519387
0.1932689693768148,1.0,-0.8067310306231852
0.1958400754199891,1.0,-0.8041599245800108
0.19839740983992057,1.0,-0.8016025901600794
0.20093977951706113,1.0,-0.7990602204829389
0.20346605279664673,1.0,-0.7965339472033532
0.20597530849223972,1.0,-0.7940246915077602
0.2084669367128908,1.0,-0.7915330632871092
0.21094077546230625,1.0,-0.7890592245376937
0.21339710287512131,1.0,-0.7866028971248786
