Format Version,1.0,
Take Name,ExoTest2,
Capture Frame Rate,2000.00,
Export Frame Rate,200.00,
Capture Start Time,21 Apr 2026 14:55:38 +0200,
Total Frames In Take,2265,
Total Exported Frames,22650,
Coordinate Space,Local,
Device Name,Trigno 2801,
Device Type,0,
Device Channel Count,2,
Mocap Rate,200.00,
Mocap Rate Multiple,10.00

MocapFrame, MocapTime, DeviceFrame,Bicep,Tricep
17,0.085000,172,-0.030000,-0.006959
17,0.085000,173,-0.027929,-0.009715
17,0.085000,174,-0.027314,-0.011086
17,0.085000,175,-0.029633,-0.012302
17,0.085000,176,-0.032645,-0.012780
17,0.085000,177,-0.034599,-0.009866
17,0.085000,178,-0.034642,-0.004838
17,0.085000,179,-0.033225,-0.000699
18,0.090000,180,-0.031590,0.000068
18,0.090000,181,-0.029627,-0.001789
18,0.090000,182,-0.026937,-0.003656
18,0.090000,183,-0.026726,-0.005079
18,0.090000,184,-0.027975,-0.005054
18,0.090000,185,-0.028817,-0.003222
18,0.090000,186,-0.027790,-0.000631
18,0.090000,187,-0.025639,0.000161
18,0.090000,188,-0.024800,-0.000711
18,0.090000,189,-0.024753,-0.001647
19,0.095000,190,-0.023072,-0.002768
19,0.095000,191,-0.019997,-0.001910
19,0.095000,192,-0.017475,-0.000514
19,0.095000,193,-0.016794,-0.000159
19,0.095000,194,-0.018361,-0.000499
19,0.095000,195,-0.021500,-0.001016
19,0.095000,196,-0.021463,-0.001184
19,0.095000,197,-0.020026,-0.001401
19,0.095000,198,-0.020640,-0.001650
19,0.095000,199,-0.022873,-0.002666
20,0.100000,200,-0.025760,-0.004104
20,0.100000,201,-0.027064,-0.004523
20,0.100000,202,-0.026365,-0.005556
20,0.100000,203,-0.027355,-0.005726
20,0.100000,204,-0.029184,-0.005768
20,0.100000,205,-0.029321,-0.005219
20,0.100000,206,-0.027024,-0.004624
20,0.100000,207,-0.025123,-0.003004
20,0.100000,208,-0.023956,-0.000649
20,0.100000,209,-0.022612,-0.000025
21,0.105000,210,-0.022341,0.000830
21,0.105000,211,-0.023440,0.001721
21,0.105000,212,-0.023768,0.001840
21,0.105000,213,-0.024019,0.001852
21,0.105000,214,-0.025578,0.001197
21,0.105000,215,-0.026316,-0.000140
21,0.105000,216,-0.023937,0.000381
21,0.105000,217,-0.020465,0.000817
21,0.105000,218,-0.017407,0.000099
21,0.105000,219,-0.015648,-0.002835
22,0.110000,220,-0.014495,-0.007453
22,0.110000,221,-0.013645,-0.012321
22,0.110000,222,-0.013225,-0.016006
22,0.110000,223,-0.012242,-0.015744
22,0.110000,224,-0.010134,-0.011534
22,0.110000,225,-0.011420,-0.005636
22,0.110000,226,-0.014169,-0.002087
22,0.110000,227,-0.015102,-0.000895
22,0.110000,228,-0.014907,-0.000177
22,0.110000,229,-0.014357,-0.000877
23,0.115000,230,-0.012995,-0.001520
23,0.115000,231,-0.014216,-0.001502
23,0.115000,232,-0.016249,-0.001322
23,0.115000,233,-0.015632,-0.000274
23,0.115000,234,-0.014777,0.000588
23,0.115000,235,-0.016083,-0.000354
23,0.115000,236,-0.018044,-0.001878
23,0.115000,237,-0.020892,-0.002898
23,0.115000,238,-0.023899,-0.004066
23,0.115000,239,-0.024705,-0.005310
24,0.120000,240,-0.023157,-0.004658
24,0.120000,241,-0.022538,-0.002909
24,0.120000,242,-0.024427,-0.003040
