t_qd,qd_rad,t_q,q_rad
0.20500000000000002,2.287811177741495,0.20500000000000002,0.08128586616245481
0.21,2.283778046601576,0.21,0.08480304306371489
0.215,2.2793082980911996,0.215,0.08851561868171162
0.22,2.2745282598566834,0.22,0.09281439044991838
0.225,2.269549372919332,0.225,0.0965269660679151
0.23,2.2644687686423897,0.23,0.10004414296917516
0.23500000000000001,2.259369407690777,0.23500000000000001,0.1037567185871719
0.24,2.254321767883386,0.24,0.10746929420516863
0.245,2.24938547800982,0.245,0.11118186982316537
0.25,2.244609606890602,0.25,0.11528524287463544
0.255,2.2400333611963426,0.255,0.1195840146428422
0.26,2.235687791656543,0.26,0.12368738769431226
0.265,2.2315962474361726,0.265,0.12720456459557233
0.27,2.227774508049195,0.27,0.13091714021356907
0.275,2.2242325233581886,0.275,0.13443431711482912
0.28,2.2209759960353175,0.28,0.13834229144956253
0.28500000000000003,2.2180061316629804,0.28500000000000003,0.14225026578429595
0.29,2.2153194300704158,0.29,0.14576744268555603
0.295,2.2129088701273254,0.295,0.1490892208700794
0.3,2.2107654738347207,0.3,0.15280179648807612
0.305,2.20887822124406,0.305,0.15612357467259955
0.31,2.2072340312141137,0.31,0.16042234644080625
0.315,2.2058197786389915,0.315,0.16374412462532967
0.32,2.2046219562429616,0.32,0.16706590280985303
0.325,2.2036248083202192,0.325,0.1701922822776398
0.33,2.202811901896957,0.33,0.17449105404584653
0.335,2.202169185257482,0.335,0.17878982581405328
0.34,2.201683179373431,0.34,0.18191620528184
0.34500000000000003,2.201338828766035,0.34500000000000003,0.18523798346636342
0.35000000000000003,2.2011215999804787,0.35000000000000003,0.18816896421741344
0.355,2.2010181552621533,0.355,0.19227233726888354
0.36,2.2010157678475504,0.36,0.19637571032035359
0.365,2.2011023709026736,0.365,0.20047908337182369
0.37,2.2012671972628994,0.37,0.20380086155634705
0.375,2.201500135337423,0.375,0.2088812281915005
0.38,2.201790579845922,0.38,0.2141569935433906
0.385,2.2021288097983964,0.385,0.21923736017854403
0.39,2.202506565531319,0.39,0.22353613194675076
0.395,2.2029157495377802,0.395,0.22763950499822086
0.4,2.203349632892754,0.4,0.2323290741999009
0.405,2.2038027628333197,0.405,0.23526005495095098
0.41000000000000003,2.2042691299787305,0.41000000000000003,0.23877723185221103
0.41500000000000004,2.2047439999235334,0.41500000000000004,0.24288060490368113
0.42,2.2052243298528804,0.42,0.24659318052167786
0.425,2.2057063462484106,0.425,0.2501103574229379
0.43,2.2061857266350926,0.43,0.2540183317576713
0.435,2.2066598930446775,0.435,0.2581217048091414
0.44,2.207127237955552,0.44,0.26163888171040145
0.445,2.20758541860857,0.445,0.2653514573283982
0.45,2.2080325555905738,0.45,0.2692594316631316
0.455,2.2084682249658343,0.455,0.27336280471460167
0.46,2.2088922021203836,0.46,0.2772707790493351
0.465,2.2093033938290616,0.465,0.28059255723385845
0.47000000000000003,2.209701555486061,0.47000000000000003,0.2848913290020652
0.47500000000000003,2.2100876937475338,0.47500000000000003,0.28821310718658855
0.48,2.21046178946572,0.48,0.292121081521322
0.485,2.2108239994395666,0.485,0.2970060494397388
0.49,2.211176191586804,0.49,0.3007186250577355
0.495,2.2115190359741943,0.495,0.3040404032422589
0.5,2.2118511370938134,0.5,0.3071667827100456
0.505,2.2121725697599195,0.505,0.31185635191172567
0.51,2.21248461644239,0.51,0.31556892752972243
0.515,2.212786862517946,0.515,0.3188907057142458
0.52,2.213079696632681,0.52,0.32358027491592595
0.525,2.213365850279857,0.525,0.32787904668413265
0.53,2.2136466265214216,0.53,0.3310054261519194
0.535,2.2139215399282146,0.535,0.33452260305317943
0.54,2.214191485972463,0.54,0.3390167735381229
0.545,2.214457921728995,0.545,0.34214315300590964
0.55,2.2147209751194072,0.55,0.34566032990716966
0.555,2.2149808599079965,0.555,0.3485913106582197
0.56,2.2152384681309485,0.56,0.35210848755947977
0.5650000000000001,2.2154953163897426,0.5650000000000001,0.35679805676115983
0.5700000000000001,2.215754125500705,0.5700000000000001,0.3603152336624199
0.5750000000000001,2.216017314526606,0.5750000000000001,0.3646140054306266
0.58,2.2162863782261524,0.58,0.3689127771988334
0.585,2.216563410255891,0.585,0.3732115489670402
