time,qd,q,position_error,jerk,jerk_d
8.985,2.29479042,1.5243053892627647,0.7704850307372353,1172.392300419677,2.9799999998695483
8.99,2.29515782,1.5278225661640248,0.7673352538359752,-2735.5820343085825,7.629999999494306
8.995000000000001,2.29551863,1.5325121353657043,0.7630064946342958,-1367.791017154159,6.599999999531924
9.0,2.29587462,1.5356385148334912,0.760236105166509,195.3987167348788,0.21000000032255528
9.005,2.29622621,1.5397418878849616,0.7564843221150384,195.39871673658408,-3.5799999989197033
9.01,2.29657266,1.5430636660694848,0.7535089939305151,2149.3858841035717,-1.9100000002938131
9.015,2.29691337,1.5461900455372717,0.7507233244627283,-1.9889512259396724e-09,1.1499999988019916
9.02,2.29724836,1.5502934185887418,0.7469549414112584,-2344.7846008412935,1.6700000006154205
9.025,2.2975782,1.5540059942067386,0.7435722057932612,1.9892354430339765e-09,0.0400000001832197
9.03,2.29790287,1.5573277723912615,0.7405750976087386,976.9935836849146,-2.7400000010403858
9.035,2.29822237,1.5608449492925216,0.7373774207074784,781.5948669446349,-4.999999999313527
9.04,2.29853623,1.564166727477045,0.7343695025229549,-195.39871673720197,-2.089999998698403
9.045,2.29884314,1.5676839043783053,0.7311592356216945,-1758.588450626332,3.7600000001699705
9.05,2.29914344,1.5715918787130383,0.7275515612869616,781.5948669479278,4.889999999301946
9.055,2.29943842,1.574327460747352,0.7251109592526479,3321.778184521378,3.2799999985401804
9.06,2.29972826,1.5778446376486122,0.721883622351388,390.7974334731704,4.919999999799703
9.065,2.3000131,1.5815572132666087,0.7184558867333914,-3517.176901259667,7.550000001117768
9.07,2.30029397,1.586246782468289,0.7140471875317107,-1758.5884506312548,6.709999999827996
9.075,2.3005721,1.5897639593695492,0.710808140630451,2930.9807510499245,3.450000000101806
9.08,2.30084812,1.5932811362708093,0.7075669837291907,2149.385884105673,0.6700000005822222
9.085,2.30112213,1.5971891106055427,0.7039330193944573,-2540.1833175775955,-1.560000000610371
9.09,2.30139416,1.6018786798072226,0.6995154801927774,-2540.1833175787324,-3.3200000004286654
9.095,2.30166386,1.6059820528586928,0.6956818071413073,1367.7910171566639,-2.7799999992340556
9.1,2.30193053,1.6094992297599529,0.6924313002400471,1563.189733894386,-0.299999999242619
9.105,2.30219397,1.6136026028114228,0.688591367188577,-586.196150208618,1.349999999149663
9.11,2.30245445,1.617510577146156,0.684943872853844,-1367.7910171572316,1.1299999991364835
9.115,2.30271216,1.6216139501976263,0.6810982098023737,-390.7974334760123,-0.16999999957089784
9.12,2.30296727,1.625326525815623,0.6776407441843768,2149.385884103086,-0.5299999997967806
9.125,2.30321956,1.6286483040001465,0.6745712559998536,1367.7910171600465,1.40000000016021
9.13,2.30346882,1.6325562783348797,0.6709125416651203,-976.9935836821425,3.0100000003565306
9.135,2.30371564,1.6368550501030863,0.6668605898969138,195.3987167345956,2.089999999839308
9.14,2.3039605,1.6405676257210835,0.6633928742789166,195.39871673402726,0.9699999998248003
9.145,2.30420341,1.6452571949227637,0.6589462150772363,-2344.7846008404426,1.5100000001666425
9.15,2.3044444,1.6495559666909705,0.6548884333090295,-2540.183317575321,1.2000000000967264
9.155,2.30468384,1.6540501371759135,0.6506337028240865,1563.1897338938172,-1.9100000005779076
9.16,2.30492203,1.6571765166437002,0.6477455133562999,3712.5756179956834,-4.0700000002404435
9.165,2.30515813,1.6606936935449603,0.6444644364550398,-390.79743347278713,-2.649999999844546
9.17,2.30539148,1.664992465313167,0.640399014686833,-2344.7846008378874,-1.1000000000651209
9.175,2.30562221,1.6689004396479008,0.6367217703520993,5.969980065856362e-10,-0.8299999993275513
9.18,2.3058501,1.6726130152658971,0.6332370847341027,586.1961502089008,0.10000000031585365
9.185,2.30607498,1.676325590883894,0.6297493891161059,-195.39871673772322,1.2399999994274022
9.19,2.30629706,1.6800381665018909,0.626258893498109,-195.3987167363007,1.1699999996041601
9.195,2.30651654,1.6835553434031507,0.6229611965968493,781.5948669466239,-0.2200000000129858
9.2,2.3067336,1.6870725203044108,0.619661079695589,1172.3923004197945,-1.6699999994763939
9.205,2.30694806,1.6903942984889342,0.6165537615110657,-586.1961502081591,-1.2799999998946756
9.21,2.3071595,1.6944976715404043,0.6126618284595957,195.39871673771677,0.9499999990207648
9.215,2.30736787,1.6980148484416642,0.609353021558336,3517.1769012593822,3.470000000050021
9.22,2.30757348,1.7017274240596612,0.6058460559403387,-586.1961502117449,4.580000001226553
9.225,2.30777692,1.7066123919780778,0.601164528021922,-7034.353802520755,2.300000000161706
9.23,2.30797901,1.7122789547634414,0.5957000552365586,-2344.7846008390225,-2.340000000629164
9.235,2.30817979,1.7156007329479648,0.5925790570520353,5471.164068627223,-4.260000000329262
9.24,2.30837839,1.7191179098492249,0.5892604801507753,4494.1704849423095,-0.7600000003549301
9.245,2.30857414,1.7226350867504847,0.5859390532495155,-2930.9807510494456,4.480000000342628
9.25,2.30876736,1.7277154533856385,0.5810519066143616,-5471.164068623132,5.620000001158463
9.255,2.30895921,1.7322096238705815,0.5767495861294183,1367.791017159271,2.0899999995533225
9.26,2.3091504,1.7351406046216318,0.5740097953783683,3907.9743347322687,-1.250000000538897
9.265,2.30934062,1.7388531802396283,0.5704874397603716,-390.7974334748749,-2.269999999384848
9.27,2.3095296,1.742761154574362,0.5667684454256379,-1758.588450629834,-2.4900000005346747
9.275,2.30971712,1.7464737301923583,0.5632433898076419,-781.5948669457725,-2.000000000350668
9.28,2.30990269,1.7501863058103553,0.5597163841896446,1758.588450629266,-1.2099999997872697
9.285,2.31008622,1.753312685278142,0.5567735347218581,2735.582034311338,-0.9100000005446738
9.29,2.31026767,1.7566344634626654,0.5536332065373346,-1563.1897338926576,0.6800000002737203
9.295,2.31044671,1.761128633947609,0.5493180760523908,-2344.784600836759,3.450000001237134
9.3,2.31062363,1.7648412095656056,0.5457824204343942,586.1961502109884,3.7999999997834193
9.305,2.31079927,1.7683583864668655,0.5424408835331345,-390.7974334740219,1.0199999985616772
9.31,2.31097402,1.7724617595183356,0.5385122604816646,781.594866946909,-1.5999999996552932
9.315,2.3111477,1.7755881389861226,0.5355595610138772,3321.778184522797,-1.389999998480171
9.32,2.31131986,1.7791053158873826,0.5322145441126171,-390.7974334754445,1.2299999997367994
9.325,2.3114904,1.783599486372326,0.5278909136276739,-4103.373051469469,3.199999998458124
9.33,2.31165976,1.7880936568572692,0.5235661031427308,-1367.7910171539304,1.9199999999840784
9.335,2.3118286,1.7920016311920028,0.5198269688079973,2344.7846008397682,-1.0399999985118478
