t_s,q_rad,q_des_rad,K,B,jerk,tau_Nm,ilc_ff_Nm,reward
16.348266124725342,0.0,0.1389358484381642,0.019319693444760637,-0.004127229950680779,0.0,-0.14132881451281473,0.0,0.5210546467236821
16.36025619506836,0.0,0.13879381918439138,0.019279361346634025,-0.0042732187217356995,0.0,-0.14118282244361413,0.0,0.5212214068697899
16.37123155593872,0.0,0.13865158645558778,0.019239379582426632,-0.0043464103296881685,0.0,-0.14103504059080615,0.0,0.5213895566018218
16.381561040878296,0.0,0.1385090044188395,0.01919966082684035,-0.004356144721340688,0.0,-0.1408852925166011,0.0,0.5215592814586062
16.390265703201294,0.0,0.13836595543450242,0.01915970666845329,-0.004395063754224908,0.0,-0.14073582592493317,0.0,0.5217307379644879
16.401280403137207,0.0,0.1382220887535621,0.01911370914541246,-0.005598044245826263,0.0,-0.14062691632931576,0.0,0.5219043690100824
16.410256147384644,0.0,0.13807711440226303,0.019082246036540917,-0.0038597976056207912,0.0,-0.14042022712807256,0.0,0.5220805553905709
16.418251037597656,0.0,0.1379315511690664,0.019047096371019773,-0.002829532447884604,0.0,-0.1402546103948826,0.0,0.5222586949690435
16.427656173706055,0.0,0.13778583858916693,0.018997085443883944,-0.004754941418023687,0.0,-0.14013600244273636,0.0,0.5224382662445011
16.436662673950195,0.0,0.13763985635803455,0.018964028519693022,-0.0033029880544822123,0.0,-0.13995165884694108,0.0,0.5226194299072281
16.444275617599487,0.0,0.13749376538432312,0.018920997355194057,-0.003836880971850696,0.0,-0.13980568170575508,0.0,0.5228019982592669
16.452727794647217,0.0,0.13734767974281353,0.018879396881723652,-0.004095074697456863,0.0,-0.13965748810699563,0.0,0.5229858372111655
16.462414979934692,0.0,0.13720169428696088,0.018844665298457984,-0.0030013375674480588,0.0,-0.13948807847491984,0.0,0.5231708331501455
16.4702627658844,0.0,0.13705615465841833,0.01880142845366518,-0.0036321426928829616,0.0,-0.1393420384560622,0.0,0.523356547999157
16.481271266937256,0.0,0.13691083626170591,0.018753495175349126,-0.005216765201201782,0.0,-0.13923266589902228,0.0,0.5235432666364237
16.49126410484314,0.0,0.13676530162997905,0.018721600268111746,-0.0036098748032826126,0.0,-0.13903648810666416,0.0,0.5237315582233896
16.49929428100586,0.0,0.13661994427986215,0.018685826456009406,-0.0027917022331981163,0.0,-0.1388753968728477,0.0,0.5239209212939865
16.50825572013855,0.0,0.13647507239468323,0.01863640596643398,-0.004722466971260505,0.0,-0.13875731575207526,0.0,0.5241109525991863
16.516323804855347,0.0,0.1363304441975465,0.01860376310178715,-0.0033387710108839026,0.0,-0.13857565913517428,0.0,0.5243019665720302
16.52527165412903,0.0,0.13618613602963953,0.018562137983719057,-0.00376692707801175,0.0,-0.1384300872257786,0.0,0.5244938618553647
16.534011840820312,0.0,0.13604220613109705,0.018521318366957144,-0.004063748614398675,0.0,-0.1382849178521572,0.0,0.5246865585976033
16.544879913330078,0.0,0.13589844037733495,0.018481644022144094,-0.004150066519984061,0.0,-0.1381359570005929,0.0,0.5248803431401794
16.552266359329224,0.0,0.13575492268166062,0.01844818582561866,-0.003021896830713263,0.0,-0.13796794856922615,0.0,0.5250751037774505
16.56046152114868,0.0,0.13561197926636448,0.01840651709270314,-0.003566098785978483,0.0,-0.13782368789115043,0.0,0.5252703935447489
