t_s,q_rad,q_des_rad,dq_des,ddq_des,K,B,Kff,jerk,tau_Nm,reward,err_deg
0.08529782295227051,-0.018074381298142036,0.32449069562149047,0.8773213535247408,1.2787175346260051,8.077336757819502,0.7596670947274378,1.7116005136729235,5.0,4.629712882778909,0.3527571113313181,19.62753311606935
0.09325027465820312,-0.014948001830355223,0.3479149130554199,1.0144519106507195,1.6142426080351644,7.902549190348549,0.7378186487935685,1.6853823785522803,5.0,5.174522462110097,0.3527571112708505,20.79051356476973
0.10126805305480957,-0.011626223645831811,0.3680526941890716,1.1483862625362753,1.9819771429117052,7.727761622877595,0.7159702028596993,1.659164243431637,5.0,5.72013665868409,0.35275711126749293,21.753999562034327
0.1092672348022461,-0.008499844178045248,0.3845739269180298,1.2747033601148599,2.3729732949296416,7.55297405540664,0.6941217569258299,1.6329461083109935,5.0,6.258288100497529,0.35275711126722975,22.521468121096504
0.11726069450378418,-0.005178065993521838,0.3975390741672516,1.390472575051359,2.7801438375655625,7.378186487935686,0.6722733109919605,1.6067279731903503,5.0,6.780708459055032,0.35275711126719994,23.073992468790745
0.12527108192443848,-0.0018562878089984274,0.407529335067749,1.4950840951563338,3.1955279305393027,7.203398920464732,0.6504248650580913,1.5805098380697071,5.0,7.285616772864611,0.35275711126719456,23.456068384171992
0.13330960273742676,0.0012700916587883846,0.41443951529693607,1.585176689743205,3.6113959350883156,7.028611352993777,0.6285764191242219,1.5542917029490637,5.0,7.76624420646335,0.3527571112671933,23.672864198318614
0.14136481285095215,0.004396471126575196,0.41893844518280027,1.6609038571942223,4.018465513153477,6.853823785522822,0.6067279731903527,1.5280735678284203,3.716394197977144,8.217367008403892,0.4123585308393233,23.751505544443365
0.14924931526184082,0.007718249311098607,0.4212972915515899,1.7199612604770533,4.399899695666221,6.679036218051868,0.5848795272564833,1.501855432707777,1.838504846090987,8.629235104309346,0.47696595226593913,23.69633361544295
0.15725374221801758,0.010453831345411727,0.42200550748443605,1.76382533019421,4.760887398618081,6.504248650580913,0.563031081322614,1.475637297587134,-0.44808360950323367,9.002892375033131,0.49860121267404245,23.580174094301
0.16526198387145996,0.013775609529935137,0.42155775481605534,1.7933295492283114,5.092039745397368,6.329461083109958,0.5411826353887447,1.4494191624664907,-2.4264443666145095,9.325654583970351,0.46056646470016416,23.364195885685245
0.17327499389648438,0.017292786431195147,0.4201871062316895,1.8071155351553818,5.38267193206371,6.154673515639004,0.5193341894548753,1.4232010273458477,-4.17658828824246,9.593102047582907,0.39198013742566507,23.084144114362402
0.18141674995422363,0.020614564615718554,0.4182554609622956,1.8076616503377008,5.635609272032537,5.97988594816805,0.5,1.3969828922252046,-5.0,9.805111284155544,0.3527571112672102,22.783145122457903
0.18940973281860352,0.023936342800242212,0.416030052520752,1.7957112867331864,5.837985851205866,5.805098380697095,0.5,1.3707647571045614,-5.0,9.96957531653939,0.3527571112672361,22.465314740612833
0.19732022285461426,0.02686732355129218,0.4136953578567505,1.7722765958004372,5.987748846459894,5.63031081322614,0.5,1.3445466219839184,-5.0,10.06923542155951,0.3527571112672924,22.163613763044584
0.2053821086883545,0.03018910173581559,0.41133462745857235,1.738970194606217,6.092731606838804,5.455523245755186,0.5,1.3183284868632752,-5.0,5.1001923542155945,0.3527571112674327,21.83803000420892
0.21318554878234863,0.03312008248686556,0.40919091824340814,1.6977699160458162,6.141554422763803,5.280735678284231,0.5,1.292110351742632,-5.0,5.050501923542155,0.3527571112677113,21.54727168680746
0.22118210792541504,0.036246461954652365,0.40720560718727106,1.6486374145902347,6.143555202650654,5.105948110813277,0.5,1.2658922166219888,-5.0,5.050005019235421,0.35275711126830683,21.254393393609604
0.2291562557220459,0.03956824013917578,0.4054974488372803,1.593521335668643,6.095903307140019,5.0,0.5,1.2396740815013456,-5.0,5.050000050192353,0.35275711126953185,20.966199258963282
0.2371959686279297,0.042499220890225994,0.4041060438995361,1.5329252262146427,5.998316468314362,5.0,0.5,1.2134559463807026,-5.0,5.050000000501923,0.3527571112715809,20.718544801567614
0.24517083168029785,0.04562560035801231,0.4030819576358795,1.4692935305512427,5.858847787299825,5.0,0.5,1.1872378112600595,-5.0,5.050000000005019,0.3527571112751644,20.480740632142258
