Optimizer 6,EMG to q_d,Optimizer 1,Optimizer 2,Optimizer 3,Optimizer 4,Optimizer 5,pDMP coupled,pDMP omega,pDMP
0.0610547168378161,545.7857070734207,2.113467623132692,9.731691452685707,2.103219376436982,0.875683081602574,0.5932889735049685,17.703174925998155,47.39561187960817,59.05359223845608
0.0610151928981395,545.2321227839008,2.1157409157979146,9.71892477608094,2.105441154753862,0.8774723170290599,0.592392801479491,17.904347338060234,47.58832572449023,58.96576205088877
0.0609765571368825,544.4564372680816,2.1180341924775803,9.706289105793076,2.107686469798864,0.8792664374368542,0.5915024026137417,18.105234644849588,47.777046763286535,58.876567621268805
0.0609379213756255,543.4798306946931,2.120340791833541,9.693769342788984,2.109950880679889,0.8810623342014878,0.5906177769077203,18.305763127557384,47.9617399129495,58.78600894959618
0.060897953346739,537.5537055485324,2.1225505797417554,9.680971135850314,2.112176211710448,0.8828102693314577,0.5897375920937975,18.504108023620347,48.14052623203224,58.69408070680038
0.0608544326041737,510.4851596993143,2.124190157104522,9.66620339326596,2.1140977857214693,0.8842997445412948,0.588862292261183,18.692481784654547,48.30525313082035,58.60078822195192
0.0608038064342508,451.9359384502764,2.124553422078179,9.646957455089478,2.115232877741846,0.8852159005812155,0.5879923214990868,18.859291905926057,48.44382717195117,58.50612971869396
0.0607451866585506,384.0772786478652,2.123434761358567,9.62251522906854,2.1152377627231544,0.8854645905387315,0.5871254593614594,19.001107798288785,48.55286084293198,58.410105197026496
0.0606821259907519,340.284742161856,2.1213804046738005,9.594833816350956,2.114211472559191,0.8852860666763718,0.5862603735806715,19.12679037374687,48.641930483483975,58.312721762376896
0.0606177330553237,325.1005091797765,2.1190382781810517,9.566222480827946,2.1125243776509706,0.8849694310697487,0.5853988405135624,19.24687875742848,48.72228931418476,58.21398119110199
0.0605524519414757,322.2004207881213,2.116685049458056,9.537669765080636,2.1105015513001035,0.8846416932328793,0.5845417483385518,19.36589910656039,48.79877524288645,58.11389058862915
0.060486282649208,321.13656378562894,2.1143602424444907,9.509323106726695,2.108326846439468,0.8843215049125774,0.5836859884311707,19.48452643674159,48.87214233306736,58.01245883674255
0.0604201133569404,320.05254202438493,2.112063413051146,9.4811811734985,2.1060890809110333,0.8840075338412134,0.582832004880629,19.602753198455503,48.94242344732902,57.90968593544221
0.0603548322430924,318.97675389913616,2.109795005367232,9.45324307721762,2.103832663635785,0.8837002241079972,0.5819829063113957,19.7205825003266,49.009662106414,57.80557188472813
0.0602891070400346,317.91723631435787,2.107555907571168,9.425510150151696,2.1015829076986847,0.8834009079805583,0.5811369163666313,19.8380196714254,49.07390138697565,57.70012379002765
0.0602229377477669,316.85531820535573,2.105346563752164,9.39798328047914,2.099351803508398,0.8831100295481065,0.5802918146002867,19.95506426766269,49.13517770432918,57.593352309481816
0.060157656633919,315.7575001466739,2.103164309374961,9.370658471397064,2.097142015600184,0.8828262565430123,0.5794489332799913,20.0717038545406,49.193516371559554,57.48526454851799
0.0600919314308612,314.5912099711268,2.101007368082719,9.343529949745744,2.094955764420092,0.882548700786856,0.5786104928517943,20.18791267488496,49.24892937907544,57.37586050713617
0.0600253180493837,313.3336947680476,2.0988757398754387,9.31659061009782,2.092795270414172,0.882276030012008,0.5777756051372762,20.303656089737387,49.30141894732287,57.26514018533635
0.0599587046679062,311.9795313200058,2.096766316128651,9.289831570669094,2.090657424957953,0.8820078001292586,0.5769416056011778,20.418899460139528,49.35098552039108,57.15311246490273
0.0598920912864286,310.5534387426445,2.0946768763963064,9.26324705829984,2.0885400076053884,0.8817448993170274,0.5761098265111286,20.533617917095626,49.39763753597504,57.03978800397636
0.0598263660833708,309.1160598600595,2.092607864767615,9.236837961168476,2.086444794713316,0.8814851071292651,0.5752820442239681,20.647805687445956,49.44140652440865,56.92516857891405
0.059760640880313,307.74046244630426,2.0905592812425766,9.210608720167102,2.084370898103316,0.8812284235659718,0.5744569264720667,20.76148364338337,49.48235465818129,56.80925596607267
0.0596935834096257,306.4645885952899,2.0885337903564505,9.184564664366237,2.082317873686179,0.8809784013408262,0.5736340291662145,20.87469042066914,49.520556100191016,56.69205727087956
0.0596265259389383,305.2643584577908,2.086534500733705,9.158712455104023,2.080288830086374,0.8807350404538283,0.5728133523064116,20.987455329191107,49.556072578837984,56.5735760460484
0.059559468468251,304.0832796674664,2.084560080106712,9.133054312826516,2.078284655482321,0.8804970086373487,0.5719957840710777,21.099784142109,49.588946726686345,56.45381762064972
0.0594924109975636,302.89297803243187,2.08260964029705,9.107588017087664,2.0763049057848093,0.8802643058913873,0.5711813244602126,21.211671974441515,49.61920962998079,56.3327908764677
0.0594257976160861,301.71946252544046,2.0806854017507703,9.082314900155096,2.0743495809938395,0.8800382644835736,0.570368641206187,21.323125487526795,49.64689948039336,56.21049936621603
0.0593591842346086,300.610127679235,2.078788252646291,9.057240291099331,2.072419569287831,0.8798202166815372,0.5695586224874205,21.434170882628223,49.67207312134292,56.08694486625154
0.0592925708531311,299.5895176383101,2.076919081162032,9.03237040716931,2.0705175352020437,0.8796101624852781,0.5687508242147032,21.544839690079694,49.69479761030016,55.9621344820016
0.0592250692932339,298.654207808724,2.075080107744043,9.007710577435546,2.068643922825686,0.8794085459840062,0.5679456904772451,21.65516033159065,49.71513778428971,55.83607531889356
0.0591571236441268,297.78819699011194,2.073272664659953,8.983266575057769,2.0668000644263884,0.8792149230885116,0.5671441094534657,21.76516122887051,49.7331487103736,55.708769153284265
0.0590905102626493,296.9583341450033,2.0714976400881824,8.959041064571238,2.06498862453941,0.8790306260664238,0.5663443047865258,21.874857036863204,49.74887346520518,55.58022131424423
0.0590238968811718,296.1024263559153,2.069754145850311,8.935030049173065,2.0632078268079117,0.8788578753637921,0.565546720565635,21.984234876981645,49.76233469733416,55.45044245991448
0.0589559512320647,295.141929784748,2.06803996150029,8.911225979346682,2.0614558948750528,0.8786931182669377,0.5647518008800034,22.093257001643,49.7735221927087,55.31943259029504
0.0588880055829577,294.0085248592794,2.06635153432444,8.887615088326584,2.0597323846516247,0.8785332461513917,0.5639591016404211,22.20186123835788,49.7823995360136,55.187191705385885
0.0588209481122703,292.6562088223505,2.064683091163033,8.864179168455166,2.0580332993347383,0.8783787031063639,0.5631695110253077,22.30996587471168,49.78891654516815,55.05373579239858
0.0587543347307928,291.0588712268236,2.0630293029455515,8.840899123896406,2.0563537539430854,0.8782263805073853,0.5623821408562435,22.41748120468401,49.7930123799506,54.91906662768997
0.0586863890816857,289.20940420285035,2.0613848406014768,8.81775497063586,2.054688863495357,0.8780727256407772,0.5615969911332286,22.52431441363001,49.79462353560393,54.78318065854637
0.058617555254159,287.1229702883227,2.05974437506029,8.794728056926715,2.0530324107426168,0.8779168503281198,0.5608149500346826,22.63037712779692,49.793693612798506,54.646092095822496
0.0585500536942618,284.8364131224912,2.058103021340685,8.771802395557415,2.051379510703555,0.8777560900341541,0.5600342412037662,22.735596072465118,49.79017953488096,54.507808044945705
0.0584825521343645,282.4009035506947,2.0564572267289805,8.748966884297715,2.0497270547537028,0.8775882243128308,0.5592553087296892,22.839916624661782,49.78405820921239,54.36833028227284
0.0584137183068378,279.86961836923285,2.054806103046758,8.726213973631047,2.048071934268592,0.8774141413425696,0.558479928969291,22.94330414542856,49.77532697125753,54.22766236051757
0.0583444403901012,277.2826355190716,2.053148318026388,8.703539666754523,2.046411928802172,0.8772325088557409,0.5577076578333617,23.04573776257257,49.7639960350682,54.085806056036745
0.0582756065625744,274.65826257788706,2.05148209531103,8.680941743222093,2.0447465942652343,0.8770411064062955,0.5569371630542719,23.147201932971484,49.75008183194518,53.9427720269714
0.0582072168242575,272.00364849377934,2.049806990811476,8.658416206230868,2.0430732661225197,0.8768417103510728,0.5561675564536017,23.247687330751887,49.733604789992114,53.79856915510573
0.0581379389075209,269.33706953613523,2.0481225604385145,8.635962167602429,2.0413897239279777,0.8766343206900729,0.5554001702989808,23.347190403200106,49.71459244274001,53.65319566408289
0.0580677728123646,266.6906075976528,2.0464288041921463,8.613582291872035,2.039698188127659,0.876417605155666,0.5546358927688289,23.445716479386647,49.693082981860925,53.5066568829734
0.0579980508064181,264.08159503610307,2.0447274984292108,8.591278799485735,2.0379995468999823,0.8761933401046917,0.553874279773936,23.54327977016624,49.669119484008206,53.35896524627515
0.0579283288004717,261.4885883378548,2.0430199754173373,8.56905302271116,2.0362929120665285,0.8759619696263599,0.5531144431358825,23.63988738096623,49.642736588140224,53.21012608305864
0.0578581627053154,258.86871357627683,2.0413040147104766,8.546903629280678,2.034577839538088,0.8757221614530408,0.5523559387654586,23.7355290977348,49.613953390093,53.0601358406102
0.0577875525209492,256.19942656263106,2.0395769517733697,8.524826178302192,2.0328543293146595,0.8754730274063149,0.5516000989302938,23.83018538054671,49.582781880275206,52.90899984800035
0.0577164982473732,253.49841759059188,2.037840562962856,8.502817117062023,2.031122381396244,0.875215011575392,0.5508464795411783,23.923844683082507,49.54923893407681,52.75673586879748
0.057645888063007,250.80668963894936,2.036095736457355,8.48087644556017,2.0293802194260024,0.8749490021386919,0.5500941924196923,24.0165118903235,49.5133551936533,52.60334745571527
0.0575752778786409,248.15894650309644,2.034340251810818,8.459009048777943,2.027627843403934,0.8746741109177947,0.5493441257442555,24.108202101302822,49.47517595610407,52.4488292796832
0.0575042236050649,245.56746525128403,2.032576773558503,8.43722025578586,2.0258674737760884,0.8743912260911202,0.5485967236040779,24.198936188213334,49.434750071242206,52.293188446128624
0.0574322811530692,243.0243719597769,2.03080841032488,8.41551095476234,2.024099998720885,0.8741021240155078,0.5478515419099494,24.28873369098028,49.39212017163186,52.13643916590627
0.0573598946118636,240.5123318283131,2.02903249757469,8.393883366153432,2.0223254182383243,0.873805472423328,0.5471072483942407,24.37760393547705,49.347322228499024,51.97859032080032
0.0572888403382876,238.01345161444945,2.027249479397142,8.372340154494395,2.0205446205068256,0.873500383136161,0.5463642871461616,24.46555047441734,49.30038910444523,51.81963835809711
0.0572177860647116,235.51204209049104,2.025462464416705,8.350879543428391,2.018758049615599,0.8731886325108462,0.5456239904333415,24.55257464006877,49.25134700073386,51.65958505415347
0.0571449554342962,232.99154761069477,2.023668788098121,8.32949931250937,2.0169643732970144,0.8728711087258034,0.5448859141665707,24.63867065927161,49.20021234866567,51.49844639618095
0.0570716807146709,230.429979541924,2.021865785906129,8.308196797202072,2.0151631474618625,0.8725460354241932,0.5441500583458492,24.72382165663589,49.1469953622925,51.33622593689324
0.0569997382626752,227.80106090358743,2.020054790108361,8.28696622434677,2.0133543721101432,0.8722120803383859,0.5434155347927572,24.80800143089823,49.09169781797118,51.17292545264718
0.0569273517214696,225.0839361561674,2.018233580258766,8.265800932605316,2.011536714974227,0.8718687993791718,0.5426818994180849,24.891178895813937,49.034313054363565,51.00855915429747
0.0568536329126345,222.2735822066113,2.0163977154652457,8.244692928371933,2.0097079556080644,0.871515748457341,0.5419509285786717,24.973319856513854,48.97483307786388,50.84312881820097
0.0567808022822191,219.3811146078417,2.01454675163859,8.223634662130053,2.0078658735656063,0.8711520393944738,0.5412221781853077,25.05439411493171,48.9132525594016,50.67663444435766
0.0567075275625938,216.42426228929423,2.012679800600381,8.202622581165997,2.0060086924900133,0.8707758958337308,0.5404943159703635,25.1343785784286,48.84957327533357,50.50908491455175
0.056632920575339,213.4180041579725,2.0107946419045675,8.181653576855297,2.004134636024446,0.8703877618643219,0.5397682301122586,25.213253262990065,48.78380366335477,50.34048911056743
0.0565596458557138,210.37074304786077,2.00889127555115,8.160722764216644,2.0022432600796947,0.8699885256646667,0.5390439206109932,25.291003513672194,48.71595304933862,50.17085769054575
0.0564868152252984,207.28089755728263,2.006968813361709,8.139825702357939,2.000334564655759,0.8695764108779258,0.5383204992881474,25.367615119620268,48.64603031506931,50.00019065448669
0.0564117641488337,204.12801515767853,2.0050250348901955,8.118957950387085,1.9984058852173805,0.8691500852364697,0.5375997425005608,25.443064100016954,48.57403768099289,49.8284897787471
0.0563358248939493,200.86580110323385,2.00305683151214,8.098111070609093,1.996455001318509,0.8687091046510886,0.5368816502482332,25.517309598654947,48.49996049216543,49.655769274181694
0.0562612179066945,197.43571022523557,2.001061094603074,8.077272628526089,1.994480580691516,0.8682521368541529,0.5361631139066958,25.590289443044867,48.423764553717774,49.48203446986099
0.0561870550086496,193.80406279800863,1.9990351596277376,8.056427525104937,1.9924781824443016,0.8677769613996134,0.5354454657435781,25.66192947028867,48.34540412446131,49.30728891849867
0.0561115598429751,189.99085349413747,1.996974141604824,8.035560661312502,1.9904442538631884,0.8672813578414207,0.5347313702941392,25.732163955183296,48.26484056863478,49.13154150187893
0.0560356205880907,186.0516514184951,1.9948735996422329,8.014661823096958,1.9883756863237068,0.8667648820903651,0.5340186071123298,25.800947600629343,48.18205390222374,48.95479577271544
