Format Version,1.0,
Take Name,ExoTestReal1_002,
Capture Frame Rate,2000.00,
Export Frame Rate,200.00,
Capture Start Time,22 Apr 2026 14:51:07 +0200,
Total Frames In Take,6819,
Total Exported Frames,68190,
Coordinate Space,Local,
Device Name,Trigno 2801,
Device Type,0,
Device Channel Count,2,
Mocap Rate,200.00,
Mocap Rate Multiple,10.00

MocapFrame, MocapTime, DeviceFrame,Bicep,Tricep
29,0.145000,294,-0.021173,-0.001832
29,0.145000,295,-0.020091,-0.001631
29,0.145000,296,-0.018465,-0.001670
29,0.145000,297,-0.018332,-0.003056
29,0.145000,298,-0.019058,-0.006436
29,0.145000,299,-0.019830,-0.008643
30,0.150000,300,-0.019461,-0.007816
30,0.150000,301,-0.017258,-0.004921
30,0.150000,302,-0.014279,-0.002753
30,0.150000,303,-0.014837,-0.002749
30,0.150000,304,-0.017027,-0.003756
30,0.150000,305,-0.018755,-0.003853
30,0.150000,306,-0.018935,-0.004543
30,0.150000,307,-0.018682,-0.004565
30,0.150000,308,-0.020970,-0.003317
30,0.150000,309,-0.024360,-0.001954
31,0.155000,310,-0.024886,-0.000291
31,0.155000,311,-0.023745,0.001118
31,0.155000,312,-0.023317,0.001263
31,0.155000,313,-0.023159,-0.000008
31,0.155000,314,-0.022771,-0.001689
31,0.155000,315,-0.022085,-0.002882
31,0.155000,316,-0.019335,-0.003587
31,0.155000,317,-0.016930,-0.003544
31,0.155000,318,-0.018152,-0.001673
31,0.155000,319,-0.019651,-0.000662
32,0.160000,320,-0.018907,-0.002259
32,0.160000,321,-0.018432,-0.003282
32,0.160000,322,-0.019603,-0.004162
32,0.160000,323,-0.021970,-0.005245
32,0.160000,324,-0.023919,-0.005626
32,0.160000,325,-0.024240,-0.006852
32,0.160000,326,-0.023309,-0.008242
32,0.160000,327,-0.023006,-0.007959
32,0.160000,328,-0.024099,-0.007670
32,0.160000,329,-0.026420,-0.006973
33,0.165000,330,-0.029059,-0.004811
33,0.165000,331,-0.028813,-0.003315
33,0.165000,332,-0.027398,-0.003195
33,0.165000,333,-0.027315,-0.002496
33,0.165000,334,-0.025769,-0.001926
33,0.165000,335,-0.025154,-0.001235
33,0.165000,336,-0.025783,-0.001945
33,0.165000,337,-0.029035,-0.003742
33,0.165000,338,-0.030707,-0.004733
33,0.165000,339,-0.028448,-0.004530
34,0.170000,340,-0.025308,-0.004812
34,0.170000,341,-0.024552,-0.004718
34,0.170000,342,-0.025141,-0.004062
34,0.170000,343,-0.025869,-0.003729
34,0.170000,344,-0.026869,-0.002982
34,0.170000,345,-0.026410,-0.002231
34,0.170000,346,-0.025008,-0.002183
34,0.170000,347,-0.024764,-0.002094
34,0.170000,348,-0.026015,-0.001211
34,0.170000,349,-0.027027,-0.002489
35,0.175000,350,-0.027020,-0.002880
35,0.175000,351,-0.027275,-0.002016
35,0.175000,352,-0.027543,-0.000737
35,0.175000,353,-0.027623,-0.000420
35,0.175000,354,-0.027562,-0.001273
35,0.175000,355,-0.026471,-0.002229
35,0.175000,356,-0.025516,-0.002525
35,0.175000,357,-0.026575,-0.003600
35,0.175000,358,-0.027005,-0.004763
35,0.175000,359,-0.025253,-0.004538
36,0.180000,360,-0.023270,-0.004544
36,0.180000,361,-0.021769,-0.004637
36,0.180000,362,-0.022868,-0.004205
36,0.180000,363,-0.023970,-0.004621
36,0.180000,364,-0.024388,-0.006883
36,0.180000,365,-0.024103,-0.009704
36,0.180000,366,-0.022770,-0.010274
36,0.180000,367,-0.022272,-0.007703
36,0.180000,368,-0.023750,-0.004953
36,0.180000,369,-0.025336,-0.004189
37,0.185000,370,-0.025026,-0.006284
37,0.185000,371,-0.023563,-0.008020
37,0.185000,372,-0.023324,-0.007611
37,0.185000,373,-0.024341,-0.005540
37,0.185000,374,-0.023159,-0.003124
37,0.185000,375,-0.020789,-0.002102
37,0.185000,376,-0.019710,-0.001611
37,0.185000,377,-0.019777,-0.001436
37,0.185000,378,-0.018931,-0.001622
37,0.185000,379,-0.018222,-0.000837
38,0.190000,380,-0.018213,0.000601
38,0.190000,381,-0.017999,0.001577
38,0.190000,382,-0.017457,0.001841
38,0.190000,383,-0.017289,0.002347
38,0.190000,384,-0.018786,0.002786
38,0.190000,385,-0.020477,0.002561
38,0.190000,386,-0.020645,0.001546
38,0.190000,387,-0.021351,-0.000209
38,0.190000,388,-0.022546,-0.001737
38,0.190000,389,-0.024425,-0.003701
39,0.195000,390,-0.024283,-0.004972
39,0.195000,391,-0.022214,-0.006869
39,0.195000,392,-0.021183,-0.008573
39,0.195000,393,-0.021140,-0.008975
39,0.195000,394,-0.021598,-0.008440
